participant_id,trial,word,ink_color,congruent,response,correct,rt_ms
p-002,1,green,green,True,green,True,1213
p-002,2,red,red,True,red,True,615
p-002,3,yellow,red,False,red,True,813
p-002,4,green,green,True,green,True,605
p-002,5,red,blue,False,blue,True,768
p-002,6,blue,red,False,red,True,1080
p-002,7,yellow,red,False,red,True,608
p-002,8,blue,blue,True,blue,True,565
p-002,9,yellow,blue,False,blue,True,680
p-002,10,blue,blue,True,blue,True,445
p-002,11,green,blue,False,blue,True,440
p-002,12,green,green,True,green,True,611
p-002,13,yellow,blue,False,blue,True,601
p-002,14,yellow,blue,False,blue,True,666
p-002,15,red,blue,False,blue,True,909
p-002,16,green,green,True,green,True,484
p-002,17,blue,red,False,red,True,725
p-002,18,yellow,yellow,True,yellow,True,683
p-002,19,yellow,yellow,True,yellow,True,514
p-002,20,red,red,True,red,True,545
